width	height		
8.25	9.5	
num	orient	pos_x	pos_y
1	south	4.12	1
2	est	0.75	2
3	est	0.75	2.75
4	est	0.75	3.5
5	est	0.75	4.25
6	est	0.75	5
7	est	0.75	5.75
8	est	0.75	6.5
9	est	0.75	7.25
10	est	0.75	8
11	south	1.5	8.75
12	south	2.25	8.75
13	south	3	8.75
14	south	3.75	8.75
15	south	4.5	8.75
16	south	5.25	8.75
17	south	6	8.75
18	south	6.75	8.75
19	west	7.5	8
20	west	7.5	7.25
21	west	7.5	6.5
22	west	7.5	5.75
23	west	7.5	5
24	west	7.5	4.25
25	west	7.5	3.5
26	west	7.5	2.75
27	west	7.5	2
28	est	1.5	2
29	est	1.5	2.75
30	est	1.5	3.5
31	est	1.5	4.25
32	est	1.5	5
33	est	1.5	5.75
34	est	1.5	6.5
35	est	1.5	7.25
36	south	2.25	8
37	south	3	8
38	south	3.75	8
39	south	4.5	8
40	south	5.25	8
41	south	6	8
42	west	6.75	7.25
43	west	6.75	6.5
44	west	6.75	5.75
45	west	6.75	5
46	west	6.75	4.25
47	west	6.75	3.5
48	west	6.75	2.75
49	west	6.75	2
50	south	3.37	4.25
51	south	4.12	4.25
52	south	4.87	4.25
53	south	3.37	6.5
54	south	4.12	6.5
55	south	4.87	6.5
